season,round,raceName,circuitId,circuitName,lat,long,country,date,driverId,givenName,familyName,dateOfBirth,nationalityDriver,constructorId,nameConstructor,nationalityConstructor,position,points,grid,laps,status,millisRace,rankFastestLap,lapFastestLap,timeFastestLap,unitsAverageSpeed,speedAverageSpeed,positionDrivers,pointsDrivers,winsDrivers,positionConstructors,pointsConstructors,winsConstructors,driver,constructor,q1,q2,q3
2006,1,Bahrain Grand Prix,bahrain,Bahrain International Circuit,26.0325,50.5106,Bahrain,2006-03-12,ralf_schumacher,Ralf,Schumacher,1975-06-30,German,toyota,Toyota,Japanese,14,0.0,17,56,+1 Lap,,16.0,25.0,1:34.112,kph,207.021,14.0,0.0,0.0,9.0,0.0,0.0,Ralf Schumacher,Toyota,1:34.702,,
2006,1,Bahrain Grand Prix,bahrain,Bahrain International Circuit,26.0325,50.5106,Bahrain,2006-03-12,barrichello,Rubens,Barrichello,1972-05-23,Brazilian,honda,Honda,Japanese,15,0.0,6,56,+1 Lap,,15.0,14.0,1:33.840,kph,207.621,15.0,0.0,0.0,4.0,5.0,0.0,Rubens Barrichello,Honda,1:33.922,1:32.322,1:32.579
2006,1,Bahrain Grand Prix,bahrain,Bahrain International Circuit,26.0325,50.5106,Bahrain,2006-03-12,trulli,Jarno,Trulli,1974-07-13,Italian,toyota,Toyota,Japanese,16,0.0,14,56,+1 Lap,,18.0,24.0,1:34.852,kph,205.406,16.0,0.0,0.0,9.0,0.0,0.0,Jarno Trulli,Toyota,1:33.987,1:33.066,
2006,1,Bahrain Grand Prix,bahrain,Bahrain International Circuit,26.0325,50.5106,Bahrain,2006-03-12,monteiro,Tiago,Monteiro,1976-07-24,Portuguese,mf1,MF1,Russian,17,0.0,19,55,+2 Laps,,19.0,41.0,1:35.940,kph,203.076,17.0,0.0,0.0,10.0,0.0,0.0,Tiago Monteiro,MF1,1:35.900,,
2006,1,Bahrain Grand Prix,bahrain,Bahrain International Circuit,26.0325,50.5106,Bahrain,2006-03-12,sato,Takuma,Sato,1977-01-28,Japanese,super_aguri,Super Aguri,Japanese,18,0.0,20,53,+4 Laps,,20.0,17.0,1:37.104,kph,200.642,18.0,0.0,0.0,11.0,0.0,0.0,Takuma Sato,Super Aguri,1:37.411,,
2006,1,Bahrain Grand Prix,bahrain,Bahrain International Circuit,26.0325,50.5106,Bahrain,2006-03-12,ide,Yuji,Ide,1975-01-21,Japanese,super_aguri,Super Aguri,Japanese,19,0.0,21,35,Mechanical,,21.0,11.0,1:38.302,kph,198.197,,,,11.0,0.0,0.0,Yuji Ide,Super Aguri,1:40.270,,
2006,1,Bahrain Grand Prix,bahrain,Bahrain International Circuit,26.0325,50.5106,Bahrain,2006-03-12,villeneuve,Jacques,Villeneuve,1971-04-09,Canadian,bmw_sauber,BMW Sauber,German,20,0.0,11,29,Engine,,13.0,20.0,1:33.694,kph,207.945,,,,8.0,0.0,0.0,Jacques Villeneuve,BMW Sauber,1:33.882,1:32.456,
2006,1,Bahrain Grand Prix,bahrain,Bahrain International Circuit,26.0325,50.5106,Bahrain,2006-03-12,fisichella,Giancarlo,Fisichella,1973-01-14,Italian,renault,Renault,French,21,0.0,9,21,Hydraulics,,17.0,15.0,1:34.320,kph,206.564,,,,1.0,10.0,1.0,Giancarlo Fisichella,Renault,1:32.934,1:31.831,1:33.496
2006,1,Bahrain Grand Prix,bahrain,Bahrain International Circuit,26.0325,50.5106,Bahrain,2006-03-12,albers,Christijan,Albers,1979-04-16,Dutch,mf1,MF1,Russian,22,0.0,18,0,Driveshaft,,,,,,,,,,10.0,0.0,0.0,Christijan Albers,MF1,1:35.724,,
2006,2,Malaysian Grand Prix,sepang,Sepang International Circuit,2.76083,101.738,Malaysia,2006-03-19,fisichella,Giancarlo,Fisichella,1973-01-14,Italian,renault,Renault,French,1,10.0,1,56,Finished,5440529.0,2.0,16.0,1:35.294,kph,209.402,4.0,10.0,1.0,1.0,28.0,2.0,Giancarlo Fisichella,Renault,1:35.488,1:33.623,1:33.840
2006,2,Malaysian Grand Prix,sepang,Sepang International Circuit,2.76083,101.738,Malaysia,2006-03-19,alonso,Fernando,Alonso,1981-07-29,Spanish,renault,Renault,French,2,8.0,7,56,Finished,5445114.0,1.0,45.0,1:34.803,kph,210.487,1.0,18.0,1.0,1.0,28.0,2.0,Kimi Räikkönen,McLaren,1:34.667,1:34.351,1:34.983
2006,2,Malaysian Grand Prix,sepang,Sepang International Circuit,2.76083,101.738,Malaysia,2006-03-19,button,Jenson,Button,1980-01-19,British,honda,Honda,Japanese,3,6.0,2,56,Finished,5450160.0,4.0,35.0,1:35.604,kph,208.723,3.0,11.0,0.0,4.0,11.0,0.0,Jenson Button,Honda,1:35.023,1:33.527,1:33.986
2006,2,Malaysian Grand Prix,sepang,Sepang International Circuit,2.76083,101.738,Malaysia,2006-03-19,montoya,Juan,Pablo Montoya,1975-09-20,Colombian,mclaren,McLaren,British,4,5.0,5,56,Finished,5479880.0,3.0,39.0,1:35.566,kph,208.806,5.0,9.0,0.0,3.0,15.0,0.0,Mark Webber,Williams,1:35.252,1:34.279,1:34.672
2006,2,Malaysian Grand Prix,sepang,Sepang International Circuit,2.76083,101.738,Malaysia,2006-03-19,massa,Felipe,Massa,1981-04-25,Brazilian,ferrari,Ferrari,Italian,5,4.0,21,56,Finished,5483783.0,8.0,51.0,1:35.954,kph,207.962,7.0,4.0,0.0,2.0,15.0,0.0,Takuma Sato,Super Aguri,1:39.011,,
2006,2,Malaysian Grand Prix,sepang,Sepang International Circuit,2.76083,101.738,Malaysia,2006-03-19,michael_schumacher,Michael,Schumacher,1969-01-03,German,ferrari,Ferrari,Italian,6,3.0,14,56,Finished,5484383.0,5.0,44.0,1:35.647,kph,208.629,2.0,11.0,0.0,2.0,15.0,0.0,Jacques Villeneuve,BMW Sauber,1:35.391,1:34.752,
2006,2,Malaysian Grand Prix,sepang,Sepang International Circuit,2.76083,101.738,Malaysia,2006-03-19,villeneuve,Jacques,Villeneuve,1971-04-09,Canadian,bmw_sauber,BMW Sauber,German,7,2.0,10,56,Finished,5520990.0,9.0,43.0,1:36.002,kph,207.858,10.0,2.0,0.0,6.0,2.0,0.0,Ralf Schumacher,Toyota,1:35.214,1:34.586,
2006,2,Malaysian Grand Prix,sepang,Sepang International Circuit,2.76083,101.738,Malaysia,2006-03-19,ralf_schumacher,Ralf,Schumacher,1975-06-30,German,toyota,Toyota,Japanese,8,1.0,22,56,Finished,5521817.0,6.0,34.0,1:35.686,kph,208.544,11.0,1.0,0.0,7.0,1.0,0.0,Yuji Ide,Super Aguri,1:40.720,,
2006,2,Malaysian Grand Prix,sepang,Sepang International Circuit,2.76083,101.738,Malaysia,2006-03-19,trulli,Jarno,Trulli,1974-07-13,Italian,toyota,Toyota,Japanese,9,0.0,9,55,+1 Lap,,11.0,52.0,1:36.380,kph,207.042,13.0,0.0,0.0,7.0,1.0,0.0,Christian Klien,Red Bull,1:35.171,1:34.537,1:38.715
2006,2,Malaysian Grand Prix,sepang,Sepang International Circuit,2.76083,101.738,Malaysia,2006-03-19,barrichello,Rubens,Barrichello,1972-05-23,Brazilian,honda,Honda,Japanese,10,0.0,20,55,+1 Lap,,10.0,54.0,1:36.188,kph,207.456,14.0,0.0,0.0,4.0,11.0,0.0,Tiago Monteiro,MF1,1:37.819,,
2006,2,Malaysian Grand Prix,sepang,Sepang International Circuit,2.76083,101.738,Malaysia,2006-03-19,liuzzi,Vitantonio,Liuzzi,1980-08-06,Italian,toro_rosso,Toro Rosso,Italian,11,0.0,13,54,+2 Laps,,16.0,40.0,1:37.387,kph,204.902,16.0,0.0,0.0,9.0,0.0,0.0,Jarno Trulli,Toyota,1:35.517,1:34.702,
2006,2,Malaysian Grand Prix,sepang,Sepang International Circuit,2.76083,101.738,Malaysia,2006-03-19,albers,Christijan,Albers,1979-04-16,Dutch,mf1,MF1,Russian,12,0.0,15,54,+2 Laps,,18.0,34.0,1:38.198,kph,203.209,17.0,0.0,0.0,10.0,0.0,0.0,Nick Heidfeld,BMW Sauber,1:35.588,1:34.783,
2006,2,Malaysian Grand Prix,sepang,Sepang International Circuit,2.76083,101.738,Malaysia,2006-03-19,monteiro,Tiago,Monteiro,1976-07-24,Portuguese,mf1,MF1,Russian,13,0.0,16,54,+2 Laps,,19.0,39.0,1:39.510,kph,200.53,19.0,0.0,0.0,10.0,0.0,0.0,Felipe Massa,Ferrari,1:35.091,,
2006,2,Malaysian Grand Prix,sepang,Sepang International Circuit,2.76083,101.738,Malaysia,2006-03-19,sato,Takuma,Sato,1977-01-28,Japanese,super_aguri,Super Aguri,Japanese,14,0.0,17,53,+3 Laps,,20.0,14.0,1:40.199,kph,199.151,21.0,0.0,0.0,11.0,0.0,0.0,Scott Speed,Toro Rosso,1:36.297,,
2006,2,Malaysian Grand Prix,sepang,Sepang International Circuit,2.76083,101.738,Malaysia,2006-03-19,heidfeld,Nick,Heidfeld,1977-05-10,German,bmw_sauber,BMW Sauber,German,15,0.0,11,48,Engine,,7.0,41.0,1:35.751,kph,208.403,18.0,0.0,0.0,6.0,2.0,0.0,David Coulthard,Red Bull,1:34.839,1:34.614,
2006,2,Malaysian Grand Prix,sepang,Sepang International Circuit,2.76083,101.738,Malaysia,2006-03-19,speed,Scott,Speed,1983-01-24,American,toro_rosso,Toro Rosso,Italian,16,0.0,12,41,Clutch,,14.0,25.0,1:37.313,kph,205.057,20.0,0.0,0.0,9.0,0.0,0.0,Rubens Barrichello,Honda,1:35.526,1:34.683,
2006,2,Malaysian Grand Prix,sepang,Sepang International Circuit,2.76083,101.738,Malaysia,2006-03-19,ide,Yuji,Ide,1975-01-21,Japanese,super_aguri,Super Aguri,Japanese,17,0.0,18,33,Mechanical,,21.0,18.0,1:42.833,kph,194.05,,,,11.0,0.0,0.0,Vitantonio Liuzzi,Toro Rosso,1:36.581,,
2006,2,Malaysian Grand Prix,sepang,Sepang International Circuit,2.76083,101.738,Malaysia,2006-03-19,klien,Christian,Klien,1983-02-07,Austrian,red_bull,Red Bull,Austrian,18,0.0,8,26,Hydraulics,,13.0,14.0,1:36.867,kph,206.002,12.0,1.0,0.0,8.0,1.0,0.0,Fernando Alonso,Renault,1:35.514,1:33.997,1:35.747
2006,2,Malaysian Grand Prix,sepang,Sepang International Circuit,2.76083,101.738,Malaysia,2006-03-19,webber,Mark,Webber,1976-08-27,Australian,williams,Williams,British,19,0.0,4,15,Hydraulics,,12.0,12.0,1:36.771,kph,206.206,8.0,3.0,0.0,5.0,5.0,0.0,Michael Schumacher,Ferrari,1:35.810,1:34.574,1:34.668
2006,2,Malaysian Grand Prix,sepang,Sepang International Circuit,2.76083,101.738,Malaysia,2006-03-19,coulthard,David,Coulthard,1971-03-27,British,red_bull,Red Bull,Austrian,20,0.0,19,10,Hydraulics,,17.0,4.0,1:38.078,kph,203.458,15.0,0.0,0.0,8.0,1.0,0.0,Christijan Albers,MF1,1:37.426,,
2006,2,Malaysian Grand Prix,sepang,Sepang International Circuit,2.76083,101.738,Malaysia,2006-03-19,rosberg,Nico,Rosberg,1985-06-27,German,williams,Williams,British,21,0.0,3,6,Engine,,15.0,6.0,1:37.366,kph,204.946,9.0,2.0,0.0,5.0,5.0,0.0,Nico Rosberg,Williams,1:35.105,1:34.563,1:34.626
2006,2,Malaysian Grand Prix,sepang,Sepang International Circuit,2.76083,101.738,Malaysia,2006-03-19,raikkonen,Kimi,Räikkönen,1979-10-17,Finnish,mclaren,McLaren,British,22,0.0,6,0,Accident,,,,,,,6.0,6.0,0.0,3.0,15.0,0.0,Juan Pablo Montoya,McLaren,1:34.536,1:34.568,1:34.916
2006,3,Australian Grand Prix,albert_park,Albert Park Grand Prix Circuit,-37.8497,144.968,Australia,2006-04-02,alonso,Fernando,Alonso,1981-07-29,Spanish,renault,Renault,French,1,10.0,3,57,Finished,5667870.0,2.0,49.0,1:26.189,kph,221.499,1.0,28.0,2.0,1.0,42.0,3.0,Fernando Alonso,Renault,1:28.569,1:25.729,1:25.778
2006,3,Australian Grand Prix,albert_park,Albert Park Grand Prix Circuit,-37.8497,144.968,Australia,2006-04-02,raikkonen,Kimi,Räikkönen,1979-10-17,Finnish,mclaren,McLaren,British,2,8.0,4,57,Finished,5669670.0,1.0,57.0,1:26.045,kph,221.869,3.0,14.0,0.0,2.0,23.0,0.0,Kimi Räikkönen,McLaren,1:27.193,1:26.161,1:25.822
2006,3,Australian Grand Prix,albert_park,Albert Park Grand Prix Circuit,-37.8497,144.968,Australia,2006-04-02,ralf_schumacher,Ralf,Schumacher,1975-06-30,German,toyota,Toyota,Japanese,3,6.0,6,57,Finished,5692670.0,10.0,45.0,1:27.810,kph,217.41,7.0,7.0,0.0,6.0,7.0,0.0,Ralf Schumacher,Toyota,1:28.007,1:26.596,1:26.612
2006,3,Australian Grand Prix,albert_park,Albert Park Grand Prix Circuit,-37.8497,144.968,Australia,2006-04-02,heidfeld,Nick,Heidfeld,1977-05-10,German,bmw_sauber,BMW Sauber,German,4,5.0,8,57,Finished,5698870.0,7.0,49.0,1:27.700,kph,217.683,8.0,5.0,0.0,5.0,10.0,0.0,Nick Heidfeld,BMW Sauber,1:27.796,1:26.014,1:27.579
2006,3,Australian Grand Prix,albert_park,Albert Park Grand Prix Circuit,-37.8497,144.968,Australia,2006-04-02,fisichella,Giancarlo,Fisichella,1973-01-14,Italian,renault,Renault,French,5,4.0,2,57,Finished,5705970.0,5.0,53.0,1:27.561,kph,218.028,2.0,14.0,1.0,1.0,42.0,3.0,Giancarlo Fisichella,Renault,1:27.765,1:26.196,1:25.635
2006,3,Australian Grand Prix,albert_park,Albert Park Grand Prix Circuit,-37.8497,144.968,Australia,2006-04-02,villeneuve,Jacques,Villeneuve,1971-04-09,Canadian,bmw_sauber,BMW Sauber,German,6,3.0,19,57,Finished,5717370.0,13.0,56.0,1:28.321,kph,216.152,9.0,5.0,0.0,5.0,10.0,0.0,Scott Speed,Toro Rosso,1:30.426,,
2006,3,Australian Grand Prix,albert_park,Albert Park Grand Prix Circuit,-37.8497,144.968,Australia,2006-04-02,barrichello,Rubens,Barrichello,1972-05-23,Brazilian,honda,Honda,Japanese,7,2.0,16,57,Finished,5719770.0,6.0,32.0,1:27.690,kph,217.707,12.0,2.0,0.0,4.0,13.0,0.0,Felipe Massa,Ferrari,1:28.868,,
2006,3,Australian Grand Prix,albert_park,Albert Park Grand Prix Circuit,-37.8497,144.968,Australia,2006-04-02,coulthard,David,Coulthard,1971-03-27,British,red_bull,Red Bull,Austrian,8,1.0,11,57,Finished,5721770.0,12.0,32.0,1:28.250,kph,216.326,14.0,1.0,0.0,8.0,2.0,0.0,Michael Schumacher,Ferrari,1:28.228,1:26.718,
2006,3,Australian Grand Prix,albert_park,Albert Park Grand Prix Circuit,-37.8497,144.968,Australia,2006-04-02,speed,Scott,Speed,1983-01-24,American,toro_rosso,Toro Rosso,Italian,9,0.0,18,57,Finished,5746670.0,14.0,26.0,1:28.367,kph,216.039,16.0,0.0,0.0,9.0,0.0,0.0,Christijan Albers,MF1,1:30.226,,
2006,3,Australian Grand Prix,albert_park,Albert Park Grand Prix Circuit,-37.8497,144.968,Australia,2006-04-02,button,Jenson,Button,1980-01-19,British,honda,Honda,Japanese,10,0.0,1,56,+1 Lap,,8.0,17.0,1:27.799,kph,217.437,5.0,11.0,0.0,4.0,13.0,0.0,Jenson Button,Honda,1:28.081,1:26.337,1:25.229
2006,3,Australian Grand Prix,albert_park,Albert Park Grand Prix Circuit,-37.8497,144.968,Australia,2006-04-02,albers,Christijan,Albers,1979-04-16,Dutch,mf1,MF1,Russian,11,0.0,17,56,+1 Lap,,15.0,53.0,1:29.238,kph,213.931,19.0,0.0,0.0,10.0,0.0,0.0,Rubens Barrichello,Honda,1:29.943,,
2006,3,Australian Grand Prix,albert_park,Albert Park Grand Prix Circuit,-37.8497,144.968,Australia,2006-04-02,sato,Takuma,Sato,1977-01-28,Japanese,super_aguri,Super Aguri,Japanese,12,0.0,21,55,+2 Laps,,17.0,54.0,1:30.574,kph,210.775,20.0,0.0,0.0,11.0,0.0,0.0,Takuma Sato,Super Aguri,1:32.279,,
2006,3,Australian Grand Prix,albert_park,Albert Park Grand Prix Circuit,-37.8497,144.968,Australia,2006-04-02,ide,Yuji,Ide,1975-01-21,Japanese,super_aguri,Super Aguri,Japanese,13,0.0,22,54,+3 Laps,,18.0,49.0,1:33.737,kph,203.663,22.0,0.0,0.0,11.0,0.0,0.0,Yuji Ide,Super Aguri,1:36.164,,
2006,3,Australian Grand Prix,albert_park,Albert Park Grand Prix Circuit,-37.8497,144.968,Australia,2006-04-02,montoya,Juan,Pablo Montoya,1975-09-20,Colombian,mclaren,McLaren,British,14,0.0,5,46,Electrical,,4.0,45.0,1:27.464,kph,218.27,6.0,9.0,0.0,2.0,23.0,0.0,Juan Pablo Montoya,McLaren,1:27.079,1:25.902,1:25.976
2006,3,Australian Grand Prix,albert_park,Albert Park Grand Prix Circuit,-37.8497,144.968,Australia,2006-04-02,monteiro,Tiago,Monteiro,1976-07-24,Portuguese,mf1,MF1,Russian,15,0.0,20,39,Mechanical,,16.0,31.0,1:29.687,kph,212.86,21.0,0.0,0.0,10.0,0.0,0.0,Tiago Monteiro,MF1,1:30.709,,
2006,3,Australian Grand Prix,albert_park,Albert Park Grand Prix Circuit,-37.8497,144.968,Australia,2006-04-02,liuzzi,Vitantonio,Liuzzi,1980-08-06,Italian,toro_rosso,Toro Rosso,Italian,16,0.0,12,37,Accident,,11.0,25.0,1:27.988,kph,216.97,18.0,0.0,0.0,9.0,0.0,0.0,David Coulthard,Red Bull,1:28.408,1:27.023,
2006,3,Australian Grand Prix,albert_park,Albert Park Grand Prix Circuit,-37.8497,144.968,Australia,2006-04-02,michael_schumacher,Michael,Schumacher,1969-01-03,German,ferrari,Ferrari,Italian,17,0.0,10,32,Accident,,3.0,27.0,1:27.180,kph,218.981,4.0,11.0,0.0,3.0,15.0,0.0,Jarno Trulli,Toyota,1:27.748,1:26.327,
2006,3,Australian Grand Prix,albert_park,Albert Park Grand Prix Circuit,-37.8497,144.968,Australia,2006-04-02,webber,Mark,Webber,1976-08-27,Australian,williams,Williams,British,18,0.0,7,22,Transmission,,9.0,19.0,1:27.800,kph,217.435,11.0,3.0,0.0,7.0,5.0,0.0,Mark Webber,Williams,1:27.669,1:26.075,1:26.937
2006,3,Australian Grand Prix,albert_park,Albert Park Grand Prix Circuit,-37.8497,144.968,Australia,2006-04-02,klien,Christian,Klien,1983-02-07,Austrian,red_bull,Red Bull,Austrian,19,0.0,13,4,Accident,,19.0,4.0,1:41.351,kph,188.363,15.0,1.0,0.0,8.0,2.0,0.0,Vitantonio Liuzzi,Toro Rosso,1:28.999,1:27.219,
2006,3,Australian Grand Prix,albert_park,Albert Park Grand Prix Circuit,-37.8497,144.968,Australia,2006-04-02,trulli,Jarno,Trulli,1974-07-13,Italian,toyota,Toyota,Japanese,20,0.0,9,0,Accident,,,,,,,17.0,0.0,0.0,6.0,7.0,0.0,Jacques Villeneuve,BMW Sauber,1:28.460,1:26.714,1:29.239
2006,3,Australian Grand Prix,albert_park,Albert Park Grand Prix Circuit,-37.8497,144.968,Australia,2006-04-02,rosberg,Nico,Rosberg,1985-06-27,German,williams,Williams,British,21,0.0,14,0,Accident,,,,,,,13.0,2.0,0.0,7.0,5.0,0.0,Christian Klien,Red Bull,1:28.757,1:27.591,
2006,3,Australian Grand Prix,albert_park,Albert Park Grand Prix Circuit,-37.8497,144.968,Australia,2006-04-02,massa,Felipe,Massa,1981-04-25,Brazilian,ferrari,Ferrari,Italian,22,0.0,15,0,Accident,,,,,,,10.0,4.0,0.0,3.0,15.0,0.0,Nico Rosberg,Williams,1:28.351,1:29.422,
2006,4,San Marino Grand Prix,imola,Autodromo Enzo e Dino Ferrari,44.3439,11.7167,Italy,2006-04-23,michael_schumacher,Michael,Schumacher,1969-01-03,German,ferrari,Ferrari,Italian,1,10.0,1,62,Finished,5466486.0,2.0,19.0,1:24.624,kph,210.961,2.0,21.0,1.0,3.0,30.0,1.0,Michael Schumacher,Ferrari,1:24.598,1:22.579,1:22.795
2006,4,San Marino Grand Prix,imola,Autodromo Enzo e Dino Ferrari,44.3439,11.7167,Italy,2006-04-23,alonso,Fernando,Alonso,1981-07-29,Spanish,renault,Renault,French,2,8.0,5,62,Finished,5468582.0,1.0,23.0,1:24.569,kph,211.098,1.0,36.0,2.0,1.0,51.0,3.0,Fernando Alonso,Renault,1:23.536,1:23.743,1:23.709
2006,4,San Marino Grand Prix,imola,Autodromo Enzo e Dino Ferrari,44.3439,11.7167,Italy,2006-04-23,montoya,Juan,Pablo Montoya,1975-09-20,Colombian,mclaren,McLaren,British,3,6.0,7,62,Finished,5482354.0,4.0,22.0,1:25.096,kph,209.791,5.0,15.0,0.0,2.0,33.0,0.0,Juan Pablo Montoya,McLaren,1:24.960,1:23.760,1:24.021
2006,4,San Marino Grand Prix,imola,Autodromo Enzo e Dino Ferrari,44.3439,11.7167,Italy,2006-04-23,massa,Felipe,Massa,1981-04-25,Brazilian,ferrari,Ferrari,Italian,4,5.0,4,62,Finished,5483582.0,10.0,12.0,1:25.528,kph,208.731,7.0,9.0,0.0,3.0,30.0,1.0,Felipe Massa,Ferrari,1:24.884,1:23.595,1:23.702
2006,4,San Marino Grand Prix,imola,Autodromo Enzo e Dino Ferrari,44.3439,11.7167,Italy,2006-04-23,raikkonen,Kimi,Räikkönen,1979-10-17,Finnish,mclaren,McLaren,British,5,4.0,8,62,Finished,5484010.0,3.0,49.0,1:25.027,kph,209.961,3.0,18.0,0.0,2.0,33.0,0.0,Kimi Räikkönen,McLaren,1:24.259,1:23.190,1:24.158
2006,4,San Marino Grand Prix,imola,Autodromo Enzo e Dino Ferrari,44.3439,11.7167,Italy,2006-04-23,webber,Mark,Webber,1976-08-27,Australian,williams,Williams,British,6,3.0,10,62,Finished,5504225.0,9.0,39.0,1:25.488,kph,208.829,9.0,6.0,0.0,6.0,8.0,0.0,Mark Webber,Williams,1:24.992,1:23.718,1:24.795
2006,4,San Marino Grand Prix,imola,Autodromo Enzo e Dino Ferrari,44.3439,11.7167,Italy,2006-04-23,button,Jenson,Button,1980-01-19,British,honda,Honda,Japanese,7,2.0,2,62,Finished,5506121.0,6.0,29.0,1:25.347,kph,209.174,6.0,13.0,0.0,4.0,15.0,0.0,Jenson Button,Honda,1:24.480,1:23.749,1:22.988
